Age,Age_Bin,Gender,Education,Race,City.US.Raised,Raised.State,Latitude,Longitude,City.US.Fa,Father.State,City.US.Mo,Mother.State,City.US.Curr,Current.State,SurveyType,PI_1181,PI_1182,PI_1042
29,18-30,Male,No_degree,White,Ventura,CA,34.27830505,-119.2931976,La Puente,CA,La Puente,CA,Ventura,CA,9,NA,NA,NA
27,18-30,Male,No_degree,White,New Berlin,WI,30.40739441,-86.97850037,Greendale,WI,Franklin - Milwaukee County,WI,Gulf Breeze,FL,9,NA,NA,NA
30,18-30,Female,HS_diploma,White,Swanzey,NH,42.82569885,-71.67369843,Clinton,MA,Clinton,MA,Milford,NH,9,NA,NA,NA
25,18-30,Female,No_degree,White,Columbus,OH,47.89849854,-122.2588959,Harlingen,TX,Harlingen,TX,Everett,WA,9,NA,NA,NA
54,51-60,Male,Graduate,White,,,35.92979431,-86.46050262,,,,,Smyrna,TN,9,NA,NA,NA
25,18-30,Male,Bachelors,White,Wilson,NC,35.80799866,-78.31690216,Wilson,NC,Raleigh,NC,Raleigh,NC,9,NA,NA,NA
35,31-40,Female,No_degree,White,Paso Robles,CA,47.22390747,-122.4459991,Ventura,CA,Apple Valley,CA,Lakewood,WA,9,NA,NA,NA
40,31-40,Male,Bachelors,White,Syracuse,NY,43.15319824,-76.21160126,,,Syracuse,NY,Syracuse,NY,9,NA,NA,NA
29,18-30,Male,Bachelors,White,Easton,PA,39.92390442,-75.62030029,Phillipsburg,NJ,Wayne Township,NJ,West Chester,PA,9,NA,NA,NA
33,31-40,Female,Bachelors,Black,,,40.57670593,-73.98999786,,,,,Brooklyn,NY,9,NA,NA,NA
19,18-30,Female,HS_diploma,White,Patagonia,AZ,26.93699646,-80.13500214,,,,,Jupiter,FL,9,NA,NA,NA
22,18-30,Female,Bachelors,White,Plantation - Broward County,FL,28.02909851,-82.72409821,,,North Caldwell,NJ,Gainesville,FL,9,NA,NA,NA
63,61_up,Female,Bachelors,White,Greensboro,NC,36.00740051,-79.87319946,Mineola,TX,Thermopolis,WY,Greensboro,NC,9,NA,NA,NA
29,18-30,Male,Bachelors,White,McHenry,IL,42.46690369,-88.05500031,Wheeling,IL,Arlington Heights,IL,McHenry,IL,9,NA,NA,NA
